username,score,percentile
Alcyon,0.0,0.1665961497778718
AlexFag,0.0,0.1665961497778718
AlexisUWU,0.0,0.1665961497778718
AlexyonRay,0.0,0.1665961497778718
AndrewDong,0.0,0.1665961497778718
Andy24Evans,0.0,0.1665961497778718
Aphlysted,0.0,0.1665961497778718
Arcane,0.0,0.1665961497778718
Chell0,0.0,0.1665961497778718
Conraz,0.0,0.1665961497778718
CottageFairy,0.0,0.1665961497778718
D321,0.0,0.1665961497778718
Danker282,0.0,0.1665961497778718
DustinKazi,0.0,0.1665961497778718
Dyron,0.0,0.1665961497778718
Form,0.0,0.1665961497778718
Free,0.0,0.1665961497778718
Gvesso,0.0,0.1665961497778718
HampterLord,0.0,0.1665961497778718
Hexikey,0.0,0.1665961497778718
I4MTRUE,0.0,0.1665961497778718
Jaxzog,0.0,0.1665961497778718
Jobdozer,0.0,0.1665961497778718
Kazzy,0.0,0.1665961497778718
MeeeDBeD,0.0,0.1665961497778718
Mqrcury,0.0,0.1665961497778718
Nydia,0.0,0.1665961497778718
OceanMan1137,0.0,0.1665961497778718
OceansCurse,0.0,0.1665961497778718
Odoroki,0.0,0.1665961497778718
PicoVIII,0.0,0.1665961497778718
Pris90,0.0,0.1665961497778718
Rainbowzz,0.0,0.1665961497778718
Ryoken,0.0,0.1665961497778718
SaasAs,0.0,0.1665961497778718
SamuraiXVI,0.0,0.1665961497778718
SantiagoOld2001,0.0,0.1665961497778718
SerafinDD,0.0,0.1665961497778718
TheJadesito,0.0,0.1665961497778718
TobyFangirl,0.0,0.1665961497778718
TomokoOkada,0.0,0.1665961497778718
UncreativeName14,0.0,0.1665961497778718
UsBold1s,0.0,0.1665961497778718
Zayanaut,0.0,0.1665961497778718
akidwhosvibing,0.0,0.1665961497778718
amogusmantime,0.0,0.1665961497778718
c4tjuice,0.0,0.1665961497778718
dangonova,0.0,0.1665961497778718
gamer13254,0.0,0.1665961497778718
hololivedaisuki,0.0,0.1665961497778718
ivers0nplayz,0.0,0.1665961497778718
kingkonk,0.0,0.1665961497778718
kurokotei,0.0,0.1665961497778718
l9m,0.0,0.1665961497778718
longkiff,0.0,0.1665961497778718
markelobitx,0.0,0.1665961497778718
muda,0.0,0.1665961497778718
relpis,0.0,0.1665961497778718
scape,0.0,0.1665961497778718
surley,0.0,0.1665961497778718
vid,0.0,0.1665961497778718
wgd20,0.0,0.1665961497778718
GelloMello,0.01,0.3411254495451661
Qbert,0.01,0.3411254495451661
Yolk,0.01,0.3411254495451661
ea2415,0.01,0.3411254495451661
crysty99,0.03,0.35434736619420354
SillyBunny,0.04,0.362280516183626
saidaro,0.04,0.362280516183626
7u7,0.06,0.37285804950285595
JahMano,0.06,0.37285804950285595
NobleEzuno,0.08,0.3993018828009308
Powwu,0.08,0.3993018828009308
QuitsCannon3639,0.08,0.3993018828009308
Wackayy,0.08,0.3993018828009308
alessjoase9,0.08,0.3993018828009308
awexwolfo,0.08,0.3993018828009308
momentai,0.08,0.3993018828009308
rion,0.08,0.3993018828009308
Drakers,0.09,0.42574571609900574
happywheels2929,0.09,0.42574571609900574
RedMissile,0.1,0.43632324941823564
lavandulaloe,0.1,0.43632324941823564
