username,score,percentile
7u7,0.0,0.21117094287825994
AlexFag,0.0,0.21117094287825994
AlexyonRay,0.0,0.21117094287825994
AmnesiaSilence,0.0,0.21117094287825994
AxConnorGames,0.0,0.21117094287825994
Bane,0.0,0.21117094287825994
Cheeto,0.0,0.21117094287825994
D321,0.0,0.21117094287825994
Doubbly,0.0,0.21117094287825994
Dyron,0.0,0.21117094287825994
Flewrider,0.0,0.21117094287825994
Free,0.0,0.21117094287825994
Froce,0.0,0.21117094287825994
Gentoxic,0.0,0.21117094287825994
Gonny,0.0,0.21117094287825994
HalfLeif,0.0,0.21117094287825994
JahMano,0.0,0.21117094287825994
JoseiFeliz,0.0,0.21117094287825994
Kubercik,0.0,0.21117094287825994
Lowri,0.0,0.21117094287825994
LucLag,0.0,0.21117094287825994
MarianCap,0.0,0.21117094287825994
MeWirerle,0.0,0.21117094287825994
Melvr,0.0,0.21117094287825994
Myronzor,0.0,0.21117094287825994
NVZ,0.0,0.21117094287825994
Nghtly,0.0,0.21117094287825994
NoTablet,0.0,0.21117094287825994
Nydia,0.0,0.21117094287825994
Phitokinesis,0.0,0.21117094287825994
PicoVIII,0.0,0.21117094287825994
Ryoken,0.0,0.21117094287825994
SaasAs,0.0,0.21117094287825994
SawbladeDoom,0.0,0.21117094287825994
SillyBunny,0.0,0.21117094287825994
SkyCurse,0.0,0.21117094287825994
Smeric,0.0,0.21117094287825994
SoToy,0.0,0.21117094287825994
Sondykins,0.0,0.21117094287825994
TLginseng,0.0,0.21117094287825994
Tiana,0.0,0.21117094287825994
TonyNougat,0.0,0.21117094287825994
Treee,0.0,0.21117094287825994
Tupper,0.0,0.21117094287825994
UncreativeName14,0.0,0.21117094287825994
We1fare,0.0,0.21117094287825994
XiuMai,0.0,0.21117094287825994
Yukko,0.0,0.21117094287825994
Zanarc,0.0,0.21117094287825994
Zayanaut,0.0,0.21117094287825994
ally,0.0,0.21117094287825994
asangoyo3964,0.0,0.21117094287825994
baluhun,0.0,0.21117094287825994
dabyu,0.0,0.21117094287825994
doma,0.0,0.21117094287825994
dove,0.0,0.21117094287825994
eriri,0.0,0.21117094287825994
furikake,0.0,0.21117094287825994
girlaccou,0.0,0.21117094287825994
halloptik,0.0,0.21117094287825994
jimpuff,0.0,0.21117094287825994
koalqh,0.0,0.21117094287825994
krapie,0.0,0.21117094287825994
lavandulaloe,0.0,0.21117094287825994
m486,0.0,0.21117094287825994
marcostudios,0.0,0.21117094287825994
miguel,0.0,0.21117094287825994
momentai,0.0,0.21117094287825994
nae,0.0,0.21117094287825994
nepternity,0.0,0.21117094287825994
ratprincess,0.0,0.21117094287825994
scape,0.0,0.21117094287825994
sopharia,0.0,0.21117094287825994
sparta213,0.0,0.21117094287825994
tje500,0.0,0.21117094287825994
virtuality,0.0,0.21117094287825994
yanq,0.0,0.21117094287825994
yilrus,0.0,0.21117094287825994
yuupsyche,0.0,0.21117094287825994
Form,0.01,0.4249815225424981
kingkonk,0.01,0.4249815225424981
HampterLord,0.02,0.4329004329004329
Asu,0.03,0.43817970647238946
ALTVOIDZY,0.04,0.44609861683032415
KadeDev,0.04,0.44609861683032415
LilGnome,0.05,0.4566571639742371
sleeplessninja,0.05,0.4566571639742371
AsuKo,0.06,0.46721571111815013
Wyind,0.06,0.46721571111815013
stillramu,0.07,0.4751346214760849
Kaoshii,0.08,0.4883328054059761
MtrJulio,0.08,0.4883328054059761
NadyshkaXuyshka,0.08,0.4883328054059761
markelobitx,0.08,0.4883328054059761
Alpaca,0.11,0.5068102629078239
SleepingWyvern,0.11,0.5068102629078239
Tuffiii,0.11,0.5068102629078239
Odoroki,0.12,0.5200084468377151
dangonova,0.12,0.5200084468377151
Gjwr,0.13,0.5384859043395629
Mongosute,0.13,0.5384859043395629
TobyFangirl,0.13,0.5384859043395629
drk,0.13,0.5384859043395629
vid,0.13,0.5384859043395629
Brad,0.14,0.5543237250554324
AndrewDong,0.15,0.5701615457713018
Plose,0.15,0.5701615457713018
ivers0nplayz,0.15,0.5701615457713018
longkiff,0.15,0.5701615457713018
wgd20,0.15,0.5701615457713018
Chell0,0.17,0.5965579136310845
Dawney,0.17,0.5965579136310845
Dedlaft,0.17,0.5965579136310845
akidwhosvibing,0.17,0.5965579136310845
herestotheroc,0.17,0.5965579136310845
Remokc,0.18,0.615035371132932
SamuraiXVI,0.18,0.615035371132932
DustinKazi,0.19,0.6255939182768451
TheGreatHoldenD,0.19,0.6255939182768451
Mqrcury,0.2,0.6387921022067364
Skelebro,0.2,0.6387921022067364
ThePhoenix,0.2,0.6387921022067364
Vindex,0.22,0.6493506493506493
