username,score,percentile
AlexFag,0.01,0.01849307830497728
D321,0.01,0.01849307830497728
Kaoshii,0.01,0.01849307830497728
Taengz,0.01,0.01849307830497728
kurokotei,0.01,0.01849307830497728
muda,0.01,0.01849307830497728
7u7,0.02,0.042269893268519494
Dyron,0.02,0.042269893268519494
scape,0.02,0.042269893268519494
SoToy,0.04,0.06076297157349678
ally,0.04,0.06076297157349678
marcostudios,0.04,0.06076297157349678
yanq,0.04,0.06076297157349678
surley,0.05,0.07397231321990912
PicoVIII,0.06,0.08189791820775652
hololivedaisuki,0.06,0.08189791820775652
AndrewDong,0.07,0.1003909965127338
Dreadmag,0.07,0.1003909965127338
NVZ,0.07,0.1003909965127338
SillyBunny,0.07,0.1003909965127338
dabyu,0.07,0.1003909965127338
DustinKazi,0.08,0.12152594314699355
Free,0.08,0.12152594314699355
momentai,0.08,0.12152594314699355
Skelebro,0.09,0.1426608897812533
Yolk,0.09,0.1426608897812533
Zayanaut,0.09,0.1426608897812533
dove,0.09,0.1426608897812533
wgd20,0.09,0.1426608897812533
drk,0.1,0.16379583641551304
idioticlemon,0.1,0.16379583641551304
m486,0.1,0.16379583641551304
Ricz124,0.11,0.17964704639120785
eriri,0.11,0.17964704639120785
s1idewhist1e,0.11,0.17964704639120785
Fechote,0.12,0.19549825636690268
Nydia,0.12,0.19549825636690268
TheJadesito,0.12,0.19549825636690268
AxConnorGames,0.14,0.22455880798900982
JahMano,0.14,0.22455880798900982
OceanMan1137,0.14,0.22455880798900982
Pris90,0.14,0.22455880798900982
TLginseng,0.14,0.22455880798900982
Yukko,0.14,0.22455880798900982
cactusdoe,0.14,0.22455880798900982
iinik,0.14,0.22455880798900982
HampterLord,0.15,0.2509774912818345
lavandulaloe,0.15,0.2509774912818345
MeltedButter,0.16,0.26154496459896437
Melvr,0.16,0.26154496459896437
HalfLeif,0.17,0.2773961745746592
Ryoken,0.17,0.2773961745746592
halloptik,0.17,0.2773961745746592
ratprincess,0.17,0.2773961745746592
AmnesiaSilence,0.18,0.29324738455035404
tje500,0.18,0.29324738455035404
nepternity,0.19,0.30117298953820143
SaasAs,0.2,0.3090985945260488
dangonova,0.2,0.3090985945260488
AlexyonRay,0.21,0.3223079361724612
Cheeto,0.21,0.3223079361724612
TomokoOkada,0.21,0.3223079361724612
MtrJulio,0.23,0.34080101447743844
NoTablet,0.23,0.34080101447743844
Sondykins,0.23,0.34080101447743844
Tiana,0.23,0.34080101447743844
We1fare,0.24,0.3540103561238508
Datonix,0.25,0.37250343442882805
Diddy,0.25,0.37250343442882805
Myronzor,0.25,0.37250343442882805
ivers0nplayz,0.25,0.37250343442882805
jagrrat,0.25,0.37250343442882805
krapie,0.25,0.37250343442882805
yuupsyche,0.26,0.39099651273380537
TheRealBread,0.27,0.4042058543802177
gamer13254,0.27,0.4042058543802177
kingkonk,0.27,0.4042058543802177
marty56,0.27,0.4042058543802177
NadyshkaXuyshka,0.28,0.422698932685195
Phitokinesis,0.28,0.422698932685195
furikake,0.28,0.422698932685195
Smeric,0.29,0.43855014266088976
markelobitx,0.29,0.43855014266088976
reitrace,0.29,0.43855014266088976
JonahTheMans,0.3,0.45440135263658465
Kazzy,0.3,0.45440135263658465
sleeplessninja,0.3,0.45440135263658465
MarianCap,0.31,0.47025256261227943
sparta213,0.31,0.47025256261227943
yilrus,0.31,0.47025256261227943
Odoroki,0.32,0.4808200359294093
Arcati,0.33,0.4913875092465392
bleach,0.33,0.4913875092465392
elpapelotaku,0.33,0.4913875092465392
Alpaca,0.34,0.5125224558807989
LilGnome,0.34,0.5125224558807989
Nghtly,0.34,0.5125224558807989
akidwhosvibing,0.34,0.5125224558807989
nikandrose,0.34,0.5125224558807989
Jobdozer,0.35,0.5283736658564937
LucLag,0.36,0.5389411391736235
girlaccou,0.36,0.5389411391736235
jwbre,0.36,0.5389411391736235
Reploid,0.37,0.5574342174786009
amogusmantime,0.37,0.5574342174786009
baluhun,0.37,0.5574342174786009
phantomyle,0.37,0.5574342174786009
DevLovChez,0.38,0.5732854274542957
Mahi,0.38,0.5732854274542957
Chell0,0.39,0.5891366374299905
MeWirerle,0.39,0.5891366374299905
SantiagoOld2001,0.39,0.5891366374299905
UncreativeName14,0.39,0.5891366374299905
Dawney,0.4,0.6049878474056852
Doubbly,0.4,0.6049878474056852
SkyCurse,0.42,0.6129134523935327
Form,0.43,0.6393321356863574
Froce,0.43,0.6393321356863574
Gjwr,0.43,0.6393321356863574
Gonny,0.43,0.6393321356863574
Kubercik,0.43,0.6393321356863574
SamuraiXVI,0.43,0.6393321356863574
SerafinDD,0.43,0.6393321356863574
TobyFangirl,0.43,0.6393321356863574
Tupper,0.43,0.6393321356863574
doma,0.44,0.6683926873084645
jimpuff,0.44,0.6683926873084645
AlexisUWU,0.45,0.6868857656134418
Dedlaft,0.45,0.6868857656134418
Gvesso,0.45,0.6868857656134418
Treee,0.45,0.6868857656134418
lasteen,0.45,0.6868857656134418
Arcane,0.46,0.7133044489062665
Chisato,0.46,0.7133044489062665
Hexikey,0.46,0.7133044489062665
OceansCurse,0.46,0.7133044489062665
longkiff,0.46,0.7133044489062665
LeonsOnline,0.47,0.7370812638698088
P3tike,0.47,0.7370812638698088
XiuMai,0.47,0.7370812638698088
abrown03x,0.47,0.7370812638698088
Lowri,0.48,0.7502906055162211
Vopbe,0.5,0.755574342174786
ALTVOIDZY,0.51,0.7740674204797633
Bane,0.51,0.7740674204797633
Danker282,0.51,0.7740674204797633
ObiMeow,0.51,0.7740674204797633
RedMissile,0.51,0.7740674204797633
Remokc,0.51,0.7740674204797633
abadplayer800,0.52,0.7978442354433055
spectre12321,0.52,0.7978442354433055
stillramu,0.52,0.7978442354433055
PL4Y3R,0.53,0.8136954454190003
SleepingWyvern,0.53,0.8136954454190003
Tuffiii,0.53,0.8136954454190003
Eliott,0.54,0.8321885237239776
Mongosute,0.54,0.8321885237239776
rion,0.54,0.8321885237239776
vid,0.54,0.8321885237239776
Asier2003,0.55,0.8506816020289548
HanimeGhoul,0.55,0.8506816020289548
KokouNut,0.55,0.8506816020289548
HellLight23,0.56,0.8638909436753671
borazan,0.56,0.8638909436753671
Plose,0.57,0.8744584169924972
Powwu,0.57,0.8744584169924972
CrystalZ,0.58,0.885025890309627
nuvanut,0.58,0.885025890309627
I4MTRUE,0.59,0.8982352319560393
SawbladeDoom,0.59,0.8982352319560393
qera,0.59,0.8982352319560393
AsuKo,0.6,0.9140864419317342
herestotheroc,0.6,0.9140864419317342
virtuality,0.6,0.9140864419317342
Dolsu,0.61,0.9272957835781465
RyuuAkito,0.61,0.9272957835781465
281v0,0.62,0.9405051252245589
Mqrcury,0.62,0.9405051252245589
c4tjuice,0.62,0.9405051252245589
miguel,0.63,0.9510725985416887
Risaishi,0.64,0.9563563352002535
Qbert,0.65,0.9695656768466658
cjh64,0.65,0.9695656768466658
gami0512,0.65,0.9695656768466658
saidaro,0.65,0.9695656768466658
PixieDix,0.66,0.9827750184930784
