username,score,percentile
7u7,0.0,0.08453978653703899
AlexFag,0.0,0.08453978653703899
Alpaca,0.0,0.08453978653703899
Cheeto,0.0,0.08453978653703899
Dyron,0.0,0.08453978653703899
Free,0.0,0.08453978653703899
HalfLeif,0.0,0.08453978653703899
Lowri,0.0,0.08453978653703899
Melvr,0.0,0.08453978653703899
Myronzor,0.0,0.08453978653703899
NVZ,0.0,0.08453978653703899
Nydia,0.0,0.08453978653703899
Phitokinesis,0.0,0.08453978653703899
SillyBunny,0.0,0.08453978653703899
SoToy,0.0,0.08453978653703899
Sondykins,0.0,0.08453978653703899
Yukko,0.0,0.08453978653703899
ally,0.0,0.08453978653703899
dabyu,0.0,0.08453978653703899
dove,0.0,0.08453978653703899
eriri,0.0,0.08453978653703899
halloptik,0.0,0.08453978653703899
jimpuff,0.0,0.08453978653703899
jwbre,0.0,0.08453978653703899
m486,0.0,0.08453978653703899
marcostudios,0.0,0.08453978653703899
momentai,0.0,0.08453978653703899
scape,0.0,0.08453978653703899
tje500,0.0,0.08453978653703899
yanq,0.0,0.08453978653703899
yilrus,0.0,0.08453978653703899
AlexyonRay,0.01,0.16907957307407798
Doubbly,0.03,0.17436330973264294
Bane,0.06,0.17964704639120785
MarianCap,0.08,0.1849307830497728
NoTablet,0.11,0.19021451970833775
We1fare,0.14,0.19549825636690268
Gjwr,0.15,0.20342386135475007
Ryoken,0.15,0.20342386135475007
LucLag,0.18,0.21399133467187997
markelobitx,0.18,0.21399133467187997
NiadHGR,0.19,0.22455880798900982
yuupsyche,0.19,0.22455880798900982
SerafinDD,0.2,0.23512628130613972
lavandulaloe,0.2,0.23512628130613972
AmnesiaSilence,0.21,0.24833562295255204
Dawney,0.21,0.24833562295255204
furikake,0.21,0.24833562295255204
TLginseng,0.23,0.25890309626968194
LilGnome,0.25,0.26682870125752933
Tiana,0.25,0.26682870125752933
Smeric,0.26,0.2773961745746592
krapie,0.26,0.2773961745746592
baluhun,0.27,0.2853217795625066
Asu,0.29,0.29324738455035404
sleeplessninja,0.29,0.29324738455035404
NadyshkaXuyshka,0.3,0.30117298953820143
sparta213,0.32,0.30645672619676634
borazan,0.37,0.3117404628553313
qera,0.41,0.31702419951389627
Tupper,0.43,0.3223079361724612
Remokc,0.44,0.33023354116030856
girlaccou,0.44,0.33023354116030856
Arcane,0.46,0.34080101447743844
Hexikey,0.46,0.34080101447743844
Taengz,0.47,0.3487266194652859
AlexisUWU,0.48,0.3540103561238508
XiuMai,0.49,0.3592940927824157
Asier2003,0.51,0.36457782944098066
AsuKo,0.53,0.37250343442882805
nuggetcrab,0.53,0.37250343442882805
IConstableI,0.55,0.3857127760752404
SkyCurse,0.55,0.3857127760752404
ashylab,0.55,0.3857127760752404
lasteen,0.57,0.3962802493923703
Tuffiii,0.59,0.4015639860509352
ObiMeow,0.6,0.40948959103878263
Plose,0.6,0.40948959103878263
MeWirerle,0.62,0.4253408010144774
Theal,0.62,0.4253408010144774
koop439,0.62,0.4253408010144774
nikandrose,0.62,0.4253408010144774
Mahi,0.63,0.4411920109901723
reitrace,0.63,0.4411920109901723
jagrrat,0.64,0.44911761597801964
CorruptYouthh,0.65,0.4649688259537144
Nghtly,0.65,0.4649688259537144
Powwu,0.65,0.4649688259537144
kurokotei,0.65,0.4649688259537144
stillramu,0.65,0.4649688259537144
MeltedButter,0.66,0.4861037725879742
Yayamusprime,0.66,0.4861037725879742
Yolk,0.66,0.4861037725879742
hasty,0.72,0.4966712459051041
Kaoshii,0.73,0.501954982563669
Lune,0.75,0.5098805875515164
sopharia,0.75,0.5098805875515164
