username,score,percentile
7u7,0.0,0.023756731073804244
AmnesiaSilence,0.0,0.023756731073804244
Mahi,0.0,0.023756731073804244
MeWirerle,0.0,0.023756731073804244
SoToy,0.0,0.023756731073804244
ally,0.0,0.023756731073804244
dove,0.0,0.023756731073804244
yanq,0.0,0.023756731073804244
Dyron,0.02,0.050153098933586736
TLginseng,0.02,0.050153098933586736
AlexFag,0.04,0.05807200929152149
dabyu,0.1,0.06335128286347799
scape,0.13,0.06863055643543449
marcostudios,0.15,0.07390983000739099
SawbladeDoom,0.25,0.07918910357934748
m486,0.26,0.08446837715130398
tje500,0.29,0.08974765072326048
NVZ,0.34,0.09766656108119523
eriri,0.34,0.09766656108119523
SillyBunny,0.36,0.10822510822510822
momentai,0.36,0.10822510822510822
Alpaca,0.38,0.11614401858304298
Melvr,0.39,0.12142329215499947
Nghtly,0.4,0.12670256572695598
Free,0.41,0.13462147608489072
yilrus,0.41,0.13462147608489072
Yukko,0.43,0.14254038644282546
HalfLeif,0.47,0.14781966001478197
Phitokinesis,0.5,0.15309893358673846
Nydia,0.51,0.15837820715869497
Sondykins,0.53,0.1662971175166297
sparta213,0.53,0.1662971175166297
sleeplessninja,0.55,0.17421602787456447
krapie,0.58,0.17949530144652096
halloptik,0.6,0.18477457501847747
Pris90,0.62,0.19797275894836872
Ryoken,0.62,0.19797275894836872
We1fare,0.62,0.19797275894836872
jimpuff,0.62,0.19797275894836872
NoTablet,0.65,0.21381057966423822
sopharia,0.65,0.21381057966423822
SkyCurse,0.67,0.22172949002217296
koalqh,0.69,0.22700876359412944
girlaccou,0.7,0.23228803716608595
AlexyonRay,0.72,0.24284658430999895
Cheeto,0.72,0.24284658430999895
Smeric,0.72,0.24284658430999895
Lowri,0.77,0.2586844050258684
TonyNougat,0.77,0.2586844050258684
lavandulaloe,0.77,0.2586844050258684
LucLag,0.78,0.26924295216978145
LilGnome,0.79,0.2771618625277162
virtuality,0.79,0.2771618625277162
Myronzor,0.8,0.2877204096716292
furikake,0.8,0.2877204096716292
JoseiFeliz,0.81,0.30091859360152046
MarianCap,0.81,0.30091859360152046
Tiana,0.81,0.30091859360152046
asangoyo3964,0.83,0.3114771407454334
NadyshkaXuyshka,0.84,0.31675641431738993
baluhun,0.86,0.32203568788934644
BrowNer,0.93,0.3299545982472812
CorruptYouthh,0.93,0.3299545982472812
HZhousTextbook,0.96,0.3405131453911942
stillramu,0.96,0.3405131453911942
borazan,0.97,0.34843205574912894
markelobitx,0.98,0.3563509661070637
